Health District,Lab Report Date,Number of PCR Testing Encounters,Number of Positive PCR Testing Encounters,Percentage of +ve PCR tests,Percentage of total tests given were PCR tests,Total Number of Positive Testing Encounters,Total Number of Testing Encounters
Fairfax,7/6/2020,1338,63,4.708520179,96.746203905,67,1383
Hampton,7/6/2020,103,19,18.446601942,100,19,103
Henrico,7/6/2020,488,21,4.303278689,99.795501022,21,489
Lenowisco,7/6/2020,21,1,4.761904762,95.454545455,2,22
Lord Fairfax,7/6/2020,345,21,6.086956522,98.290598291,23,351
Loudoun,7/6/2020,386,28,7.253886010,96.984924623,30,398
Mount Rogers,7/6/2020,73,7,9.589041096,100,7,73
New River,7/6/2020,96,4,4.166666667,98.969072165,4,97
Norfolk,7/6/2020,254,56,22.047244094,99.21875,56,256
Out of State,7/6/2020,419,19,4.534606205,96.990740741,20,432
Peninsula,7/6/2020,320,32,10,96.969696970,32,330
Piedmont,7/6/2020,76,7,9.210526316,98.701298701,7,77
Pittsylvania-Danville,7/6/2020,1074,1,0.093109870,100,1,1074
Portsmouth,7/6/2020,93,19,20.430107527,100,19,93
Prince William,7/6/2020,469,32,6.823027719,96.701030928,36,485
Rappahannock,7/6/2020,305,21,6.885245902,97.444089457,21,313
Rappahannock Rapidan,7/6/2020,136,3,2.205882353,93.793103448,9,145
Richmond,7/6/2020,461,22,4.772234273,100,22,461
Roanoke,7/6/2020,390,20,5.128205128,99.236641221,20,393
Southside,7/6/2020,77,6,7.792207792,100,6,77
Thomas Jefferson,7/6/2020,362,18,4.972375691,95.767195767,18,378
Three Rivers,7/6/2020,370,8,2.162162162,97.883597884,8,378
Unknown,7/6/2020,75,2,2.666666667,100,2,75
Virginia Beach,7/6/2020,429,46,10.722610723,99.767441860,46,430
West Piedmont,7/6/2020,114,14,12.280701754,97.435897436,16,117
Western Tidewater,7/6/2020,393,26,6.615776081,99.746192893,26,394
Alexandria,7/7/2020,260,23,8.846153846,90.277777778,27,288
Alleghany,7/7/2020,266,16,6.015037594,95.683453237,16,278
Arlington,7/7/2020,397,15,3.778337531,85.010706638,19,467
Central Shenandoah,7/7/2020,366,21,5.737704918,96.825396825,24,378
Central Virginia,7/7/2020,176,12,6.818181818,96.703296703,12,182
Chesapeake,7/7/2020,415,55,13.253012048,93.468468468,57,444
Chesterfield,7/7/2020,497,38,7.645875252,96.131528046,38,517
Chickahominy,7/7/2020,234,8,3.418803419,96.694214876,8,242
Crater,7/7/2020,214,17,7.943925234,97.716894977,17,219
Cumberland Plateau,7/7/2020,56,4,7.142857143,100,4,56
Eastern Shore,7/7/2020,72,2,2.777777778,100,2,72
Fairfax,7/7/2020,1558,83,5.327342747,83.093333333,106,1875
Hampton,7/7/2020,290,14,4.827586207,98.639455782,14,294
Henrico,7/7/2020,529,24,4.536862004,98.144712430,25,539
Lenowisco,7/7/2020,44,2,4.545454545,89.795918367,2,49
Lord Fairfax,7/7/2020,345,44,12.753623188,94.520547945,47,365
Loudoun,7/7/2020,631,27,4.278922345,85.270270270,35,740
Mount Rogers,7/7/2020,85,10,11.764705882,92.391304348,10,92
New River,7/7/2020,211,2,0.947867299,95.475113122,2,221
Norfolk,7/7/2020,544,95,17.463235294,97.841726619,95,556
Out of State,7/7/2020,436,17,3.899082569,98.419864560,18,443
Peninsula,7/7/2020,613,49,7.993474715,94.891640867,52,646
Piedmont,7/7/2020,108,14,12.962962963,94.736842105,14,114
Pittsylvania-Danville,7/7/2020,134,9,6.716417910,97.101449275,9,138
Portsmouth,7/7/2020,218,26,11.926605505,98.642533937,27,221
Prince William,7/7/2020,823,61,7.411907655,90.340285401,68,911
Rappahannock,7/7/2020,305,21,6.885245902,92.145015106,24,331
Rappahannock Rapidan,7/7/2020,310,5,1.612903226,88.068181818,16,352
Richmond,7/7/2020,349,25,7.163323782,97.214484680,25,359
Roanoke,7/7/2020,609,24,3.940886700,98.543689320,24,618
Southside,7/7/2020,110,8,7.272727273,98.214285714,8,112
Thomas Jefferson,7/7/2020,603,38,6.301824212,94.366197183,38,639
Three Rivers,7/7/2020,269,31,11.524163569,96.762589928,31,278
Unknown,7/7/2020,74,0,0,98.666666667,0,75
Virginia Beach,7/7/2020,1047,117,11.174785100,96.765249538,119,1082
West Piedmont,7/7/2020,96,15,15.625,96,16,100
Western Tidewater,7/7/2020,419,33,7.875894988,97.668997669,33,429
Alexandria,7/8/2020,212,15,7.075471698,77.941176471,20,272
Alleghany,7/8/2020,337,16,4.747774481,88.684210526,18,380
Arlington,7/8/2020,335,19,5.671641791,74.444444444,21,450
Central Shenandoah,7/8/2020,889,24,2.699662542,96.316359697,25,923
Central Virginia,7/8/2020,232,14,6.034482759,88.212927757,15,263
Chesapeake,7/8/2020,590,77,13.050847458,89.802130898,81,657
Chesterfield,7/8/2020,631,57,9.033280507,86.675824176,59,728
Chickahominy,7/8/2020,209,10,4.784688995,89.699570815,10,233
Crater,7/8/2020,208,23,11.057692308,91.629955947,23,227
Cumberland Plateau,7/8/2020,78,7,8.974358974,90.697674419,7,86
Eastern Shore,7/8/2020,67,2,2.985074627,100,2,67
Fairfax,7/8/2020,1753,84,4.791785511,77.054945055,113,2275
Hampton,7/8/2020,330,27,8.181818182,95.930232558,27,344
Henrico,7/8/2020,917,104,11.341330425,92.253521127,107,994
Lenowisco,7/8/2020,90,3,3.333333333,91.836734694,3,98
Lord Fairfax,7/8/2020,489,42,8.588957055,92.965779468,43,526
Loudoun,7/8/2020,640,34,5.3125,81.841432225,39,782
Mount Rogers,7/8/2020,227,19,8.370044053,93.801652893,21,242
New River,7/8/2020,375,13,3.466666667,97.150259067,13,386
Norfolk,7/8/2020,634,83,13.091482650,97.239263804,83,652
Out of State,7/8/2020,614,18,2.931596091,99.352750809,19,618
Peninsula,7/8/2020,722,44,6.094182825,90.137328340,46,801
Piedmont,7/8/2020,195,11,5.641025641,95.588235294,12,204
Pittsylvania-Danville,7/8/2020,912,15,1.644736842,99.130434783,16,920
Portsmouth,7/8/2020,262,24,9.160305344,96.678966790,24,271
Prince William,7/8/2020,1013,71,7.008884501,88.163620540,78,1149
Rappahannock,7/8/2020,355,22,6.197183099,79.418344519,26,447
Rappahannock Rapidan,7/8/2020,202,12,5.940594059,79.527559055,22,254
Richmond,7/8/2020,439,42,9.567198178,90.702479339,44,484
Roanoke,7/8/2020,843,67,7.947805457,93.252212389,68,904
Southside,7/8/2020,248,7,2.822580645,98.804780876,7,251
Thomas Jefferson,7/8/2020,599,42,7.011686144,86.435786436,45,693
Three Rivers,7/8/2020,354,35,9.887005650,92.1875,35,384
Unknown,7/8/2020,77,6,7.792207792,98.717948718,6,78
Virginia Beach,7/8/2020,980,88,8.979591837,91.332712022,91,1073
West Piedmont,7/8/2020,137,16,11.678832117,92.567567568,16,148
Western Tidewater,7/8/2020,513,37,7.212475634,96.428571429,37,532
Alexandria,7/9/2020,232,17,7.327586207,79.725085911,18,291
Alleghany,7/9/2020,361,25,6.925207756,95,25,380
Arlington,7/9/2020,326,14,4.294478528,79.318734793,19,411
Central Shenandoah,7/9/2020,634,20,3.154574132,96.206373293,23,659
Central Virginia,7/9/2020,728,21,2.884615385,97.849462366,21,744
Chesapeake,7/9/2020,407,52,12.776412776,89.059080963,55,457
Chesterfield,7/9/2020,624,38,6.089743590,87.763713080,40,711
Chickahominy,7/9/2020,168,10,5.952380952,85.714285714,10,196
Crater,7/9/2020,321,29,9.034267913,94.690265487,30,339
Cumberland Plateau,7/9/2020,152,4,2.631578947,98.064516129,4,155
Eastern Shore,7/9/2020,53,1,1.886792453,100,1,53
Fairfax,7/9/2020,1219,78,6.398687449,75.902864259,101,1606
Hampton,7/9/2020,200,18,9,89.686098655,18,223
Henrico,7/9/2020,717,39,5.439330544,92.041078306,41,779
Lenowisco,7/9/2020,48,2,4.166666667,92.307692308,2,52
Lord Fairfax,7/9/2020,418,33,7.894736842,93.721973094,33,446
Loudoun,7/9/2020,475,26,5.473684211,75.277337559,33,631
Mount Rogers,7/9/2020,228,6,2.631578947,93.827160494,7,243
New River,7/9/2020,136,1,0.735294118,91.275167785,2,149
Norfolk,7/9/2020,736,141,19.157608696,97.483443709,142,755
Out of State,7/9/2020,456,26,5.701754386,99.130434783,27,460
Peninsula,7/9/2020,578,26,4.498269896,88.244274809,26,655
Piedmont,7/9/2020,167,9,5.389221557,98.235294118,9,170
Pittsylvania-Danville,7/9/2020,91,11,12.087912088,95.789473684,11,95
Portsmouth,7/9/2020,385,38,9.870129870,98.214285714,38,392
Prince William,7/9/2020,619,51,8.239095315,84.678522572,57,731
Rappahannock,7/9/2020,746,24,3.217158177,92.326732673,26,808
Rappahannock Rapidan,7/9/2020,139,13,9.352517986,78.089887640,19,178
Richmond,7/9/2020,532,17,3.195488722,92.844677138,20,573
Roanoke,7/9/2020,707,63,8.910891089,97.382920110,63,726
Southside,7/9/2020,83,6,7.228915663,83,6,100
Thomas Jefferson,7/9/2020,376,29,7.712765957,87.645687646,30,429
Three Rivers,7/9/2020,163,6,3.680981595,90.555555556,7,180
Unknown,7/9/2020,58,6,10.344827586,98.305084746,6,59
Virginia Beach,7/9/2020,753,81,10.756972112,92.166462668,83,817
West Piedmont,7/9/2020,123,13,10.569105691,96.09375,13,128
Western Tidewater,7/9/2020,172,11,6.395348837,91.005291005,11,189
Alexandria,7/10/2020,181,11,6.077348066,70.980392157,16,255
Alleghany,7/10/2020,719,7,0.973574409,95.231788079,7,755
Arlington,7/10/2020,429,29,6.759906760,83.625730994,33,513
Central Shenandoah,7/10/2020,320,23,7.1875,94.955489614,23,337
Central Virginia,7/10/2020,545,10,1.834862385,96.802841918,10,563
Chesapeake,7/10/2020,386,63,16.321243523,84.835164835,63,455
Chesterfield,7/10/2020,709,79,11.142454161,90.433673469,80,784
Chickahominy,7/10/2020,212,15,7.075471698,90.598290598,15,234
Crater,7/10/2020,230,21,9.130434783,93.877551020,21,245
Cumberland Plateau,7/10/2020,320,8,2.5,98.461538462,8,325
Eastern Shore,7/10/2020,31,1,3.225806452,100,1,31
Fairfax,7/10/2020,1361,77,5.657604702,76.460674157,92,1780
Hampton,7/10/2020,217,29,13.364055300,90.416666667,29,240
Henrico,7/10/2020,977,66,6.755373593,93.582375479,68,1044
Lenowisco,7/10/2020,238,8,3.361344538,97.540983607,8,244
Lord Fairfax,7/10/2020,691,30,4.341534009,95.706371191,35,722
Loudoun,7/10/2020,576,32,5.555555556,82.877697842,43,695
Mount Rogers,7/10/2020,278,13,4.676258993,95.205479452,13,292
New River,7/10/2020,759,14,1.844532279,98.571428571,14,770
Norfolk,7/10/2020,654,83,12.691131498,92.503536068,84,707
Out of State,7/10/2020,498,23,4.618473896,98.224852071,25,507
Peninsula,7/10/2020,891,60,6.734006734,95.806451613,61,930
Piedmont,7/10/2020,207,8,3.864734300,95.391705069,8,217
Pittsylvania-Danville,7/10/2020,190,25,13.157894737,98.445595855,25,193
Portsmouth,7/10/2020,310,49,15.806451613,97.791798107,49,317
Prince William,7/10/2020,793,71,8.953341740,88.307349666,79,898
Rappahannock,7/10/2020,624,25,4.006410256,90.043290043,27,693
Rappahannock Rapidan,7/10/2020,223,6,2.690582960,80.797101449,22,276
Richmond,7/10/2020,550,32,5.818181818,93.856655290,34,586
Roanoke,7/10/2020,594,12,2.020202020,93.103448276,15,638
Southside,7/10/2020,99,7,7.070707071,91.666666667,7,108
Thomas Jefferson,7/10/2020,501,39,7.784431138,87.587412587,41,572
Three Rivers,7/10/2020,297,13,4.377104377,93.987341772,13,316
Unknown,7/10/2020,63,1,1.587301587,98.4375,1,64
Virginia Beach,7/10/2020,950,132,13.894736842,87.155963303,132,1090
West Piedmont,7/10/2020,184,19,10.326086957,95.833333333,19,192
Western Tidewater,7/10/2020,652,47,7.208588957,97.604790419,47,668
Alexandria,7/11/2020,263,4,1.520912548,90.068493151,5,292
Alleghany,7/11/2020,299,12,4.013377926,95.833333333,12,312
Arlington,7/11/2020,353,22,6.232294618,82.284382284,23,429
Central Shenandoah,7/11/2020,446,29,6.502242152,95.913978495,30,465
Central Virginia,7/11/2020,269,18,6.691449814,95.390070922,18,282
Chesapeake,7/11/2020,559,99,17.710196780,96.213425129,99,581
Chesterfield,7/11/2020,587,51,8.688245315,88.270676692,56,665
Chickahominy,7/11/2020,264,13,4.924242424,90.721649485,15,291
Crater,7/11/2020,259,21,8.108108108,95.571955720,21,271
Cumberland Plateau,7/11/2020,1295,7,0.540540541,99.462365591,7,1302
Eastern Shore,7/11/2020,32,0,0,94.117647059,0,34
Fairfax,7/11/2020,1518,84,5.533596838,83.867403315,105,1810
Hampton,7/11/2020,251,38,15.139442231,95.075757576,38,264
Henrico,7/11/2020,751,30,3.994673768,91.585365854,35,820
Lenowisco,7/11/2020,219,4,1.826484018,98.206278027,7,223
Lord Fairfax,7/11/2020,734,11,1.498637602,97.218543046,12,755
Loudoun,7/11/2020,553,41,7.414104882,87.086614173,47,635
Mount Rogers,7/11/2020,169,11,6.508875740,93.888888889,11,180
New River,7/11/2020,270,9,3.333333333,96.774193548,9,279
Norfolk,7/11/2020,647,99,15.301391036,97.439759036,101,664
Out of State,7/11/2020,395,15,3.797468354,100,15,395
Peninsula,7/11/2020,722,106,14.681440443,94.875164258,106,761
Piedmont,7/11/2020,119,5,4.201680672,92.96875,5,128
Pittsylvania-Danville,7/11/2020,108,3,2.777777778,98.181818182,3,110
Portsmouth,7/11/2020,326,30,9.202453988,97.023809524,31,336
Prince William,7/11/2020,977,57,5.834186285,93.403441683,62,1046
Rappahannock,7/11/2020,296,16,5.405405405,85.302593660,20,347
Rappahannock Rapidan,7/11/2020,186,9,4.838709677,88.571428571,14,210
Richmond,7/11/2020,460,23,5,93.117408907,26,494
Roanoke,7/11/2020,378,28,7.407407407,98.694516971,28,383
Southside,7/11/2020,173,19,10.982658960,96.111111111,19,180
Thomas Jefferson,7/11/2020,549,69,12.568306011,94.006849315,70,584
Three Rivers,7/11/2020,397,10,2.518891688,96.593673966,10,411
Unknown,7/11/2020,45,4,8.888888889,100,4,45
Virginia Beach,7/11/2020,1195,135,11.297071130,95.983935743,137,1245
West Piedmont,7/11/2020,121,18,14.876033058,95.275590551,18,127
Western Tidewater,7/11/2020,351,33,9.401709402,98.595505618,33,356
Alexandria,7/12/2020,180,7,3.888888889,94.736842105,7,190
Alleghany,7/12/2020,204,18,8.823529412,100,18,204
Arlington,7/12/2020,320,28,8.75,96.385542169,29,332
Central Shenandoah,7/12/2020,517,30,5.802707930,99.423076923,30,520
Central Virginia,7/12/2020,221,9,4.072398190,99.103139013,9,223
Chesapeake,7/12/2020,615,72,11.707317073,98.874598071,73,622
Chesterfield,7/12/2020,397,33,8.312342569,97.542997543,33,407
Chickahominy,7/12/2020,212,4,1.886792453,98.148148148,4,216
Crater,7/12/2020,246,21,8.536585366,99.193548387,21,248
Cumberland Plateau,7/12/2020,75,9,12,100,9,75
Eastern Shore,7/12/2020,50,3,6,100,3,50
Fairfax,7/12/2020,1280,76,5.9375,92.619392185,81,1382
Hampton,7/12/2020,193,21,10.880829016,99.484536082,21,194
Henrico,7/12/2020,768,31,4.036458333,99.481865285,31,772
Lenowisco,7/12/2020,75,7,9.333333333,98.684210526,8,76
Lord Fairfax,7/12/2020,399,28,7.017543860,99.75,28,400
Loudoun,7/12/2020,488,39,7.991803279,96.252465483,42,507
Mount Rogers,7/12/2020,218,22,10.091743119,99.090909091,22,220
New River,7/12/2020,132,6,4.545454545,98.507462687,6,134
Norfolk,7/12/2020,640,101,15.78125,99.843993760,101,641
Out of State,7/12/2020,266,12,4.511278195,99.625468165,12,267
Peninsula,7/12/2020,585,63,10.769230769,98.484848485,63,594
Piedmont,7/12/2020,96,5,5.208333333,96.969696970,5,99
Pittsylvania-Danville,7/12/2020,101,11,10.891089109,100,11,101
Portsmouth,7/12/2020,218,36,16.513761468,99.543378995,36,219
Prince William,7/12/2020,713,44,6.171107994,95.833333333,53,744
Rappahannock,7/12/2020,441,24,5.442176871,95.869565217,25,460
Rappahannock Rapidan,7/12/2020,147,6,4.081632653,98.657718121,6,149
Richmond,7/12/2020,293,16,5.460750853,99.322033898,16,295
Roanoke,7/12/2020,922,72,7.809110629,97.773064687,72,943
Southside,7/12/2020,99,8,8.080808081,99,8,100
Thomas Jefferson,7/12/2020,392,22,5.612244898,100,22,392
Three Rivers,7/12/2020,236,15,6.355932203,98.744769874,15,239
Unknown,7/12/2020,22,2,9.090909091,100,2,22
Virginia Beach,7/12/2020,862,105,12.180974478,98.966704937,106,871
